,URL,URL_LENGTH,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
0,M0_109,16,iso-8859-1,nginx,263.0,NONE,None,10/10/2015 18:21,None,7,0,2,700,1153,832,9,2.0,1
1,B0_2314,16,UTF-8,Apache/2.4.10,15087.0,NONE,None,None,None,17,7,4,1230,1265,1230,17,0.0,0
2,B0_911,16,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,None,None,0,0,0,0,0,0,0,0.0,0
3,B0_113,17,ISO-8859-1,nginx,162.0,US,AK,7/10/1997 4:00,12/09/2013 0:45,31,22,3,3812,18784,4380,39,8.0,0
4,B0_403,17,UTF-8,None,124140.0,US,TX,12/05/1996 0:00,11/04/2017 0:00,57,2,5,4278,129889,4586,61,4.0,0
5,B0_462,18,iso-8859-1,Apache/2,345.0,US,CO,29/07/2002 0:00,1/07/2016 0:00,12,0,3,1189,8559,1327,14,2.0,0
6,B0_1128,19,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,FL,18/03/1997 0:00,19/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
7,B0_1102,20,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CO,22/11/2016 0:00,23/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
8,B0_22,20,utf-8,None,13716.0,GB,None,11/10/2002 0:00,6/10/2016 0:00,16,6,8,1492,2334,1784,20,4.0,0
9,B0_482,20,ISO-8859-1,nginx,3692.0,NONE,None,14/11/2002 0:00,19/04/2015 0:00,25,19,4,3946,16408,4746,35,10.0,0
10,B0_869,20,ISO-8859-1,Apache/2.2.15 (Red Hat),13054.0,NONE,None,None,None,0,0,0,0,0,0,0,0.0,0
11,M0_71,21,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957.0,GB,None,16/07/2000 0:00,4/07/2015 0:00,7,0,1,717,1960,1011,11,4.0,1
12,M0_97,21,iso-8859-1,nginx,686.0,OTHER,Novosibirskaya obl.,25/05/2013 0:00,23/05/2016 0:00,6,0,2,603,1580,745,8,2.0,1
13,B0_2303,21,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,9/08/1999 0:00,10/02/2015 0:00,7,7,3,618,562,618,7,0.0,0
14,B0_584,21,utf-8,nginx,15025.0,NONE,None,None,None,13,1,5,1099,15476,1243,15,2.0,0
15,M0_69,22,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CO,15/09/2013 0:00,25/02/2017 0:00,9,0,4,850,1354,994,11,2.0,1
16,B0_2122,22,iso-8859-1,nginx,318.0,US,Tennessee,2/11/2003 0:00,29/06/2015 0:00,8,6,6,696,636,696,8,0.0,0
17,B0_2176,22,iso-8859-1,Apache/2.2.22,224.0,NONE,None,12/08/2008 22:10,13/07/2016 17:36,4,3,2,420,372,420,4,0.0,0
18,B0_569,22,utf-8,Apache/2.4.7 (Ubuntu),4421.0,AU,Vi,21/05/2009 0:00,15/05/2016 0:00,12,0,2,2259,5165,2559,16,4.0,0
19,B0_884,22,ISO-8859-1,Apache,441.0,US,OR,13/01/2005 0:00,2/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
20,B0_916,22,utf-8,nginx,6671.0,CA,ALBERTA,4/01/2001 0:00,3/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
21,B0_1130,23,iso-8859-1,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,434.0,PA,PANAMA,8/12/2006 0:00,14/12/2015 0:00,0,0,0,0,0,0,0,0.0,0
22,B0_1185,23,us-ascii,Microsoft-HTTPAPI/2.0,324.0,OTHER,None,16/06/2000 0:00,18/05/2016 0:00,0,0,0,0,0,0,0,0.0,0
23,B0_1369,23,utf-8,nginx,13001.0,NONE,None,None,None,0,0,0,0,0,0,0,0.0,0
24,B0_1412,23,ISO-8859-1,Oracle-iPlanet-Web-Server/7.0,3257.0,NONE,None,13/10/2000 0:00,27/04/2017 0:00,0,0,0,0,0,0,0,0.0,0
25,B0_2217,23,ISO-8859-1,None,6748.0,US,Arizona,31/12/1999 0:00,9/04/2017 0:00,7,4,5,630,244,630,7,0.0,0
26,B0_614,23,iso-8859-1,Apache,240.0,US,CA,17/05/2008 0:00,18/05/2016 0:00,8,0,2,723,1837,871,10,2.0,0
27,B0_622,23,ISO-8859-1,Apache,3985.0,CA,AB,30/05/2002 0:00,31/05/2016 0:00,40,17,16,3285,12003,3729,46,6.0,0
28,B0_790,23,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,20/10/2005 0:00,30/09/2016 0:00,0,0,0,0,0,0,0,0.0,0
29,M0_175,24,ISO-8859-1,nginx/1.6.2,6173.0,NONE,None,None,None,2,0,1,132,318,132,2,0.0,1
30,M0_89,24,iso-8859-1,Apache,319.0,IN,Tamil Nadu,None,None,7,0,2,720,1269,868,9,2.0,1
31,B0_126,24,ISO-8859-1,None,34.0,US,VA,5/03/1996 5:00,27/05/2016 14:46,65,3,5,6286,90508,6596,69,4.0,0
32,B0_2301,24,utf-8,Heptu web server,1778.0,NONE,None,10/01/1998 0:00,11/11/2012 0:00,7,7,3,618,562,618,7,0.0,0
33,B0_2315,24,us-ascii,Microsoft-HTTPAPI/2.0,324.0,CA,quebec,7/04/2011 0:00,8/04/2017 0:00,6,4,4,564,508,564,6,0.0,0
34,B0_282,24,iso-8859-1,Apache/2.2.22,224.0,US,MA,26/02/2009 0:00,6/01/2017 0:00,19,2,4,2131,9471,2441,23,4.0,0
35,B0_326,24,iso-8859-1,Apache,318.0,NONE,None,None,None,21,1,8,1606,1276,1914,25,4.0,0
36,B0_543,24,iso-8859-1,Apache/2,345.0,US,New Mexico,4/07/2007 0:00,5/07/2016 0:00,19,5,9,1390,3890,1540,21,2.0,0
37,B0_656,24,UTF-8,Apache,756.0,PA,PANAMA,2/07/1998 0:00,6/02/2017 0:00,23,3,15,2485,9332,2799,27,4.0,0
38,B0_1347,25,UTF-8,nginx,14839.0,US,NY,15/12/2004 0:00,13/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
39,B0_2127,25,us-ascii,Microsoft-IIS/7.5,324.0,US,Massachusetts,25/02/2008 0:00,26/02/2017 0:00,5,2,4,474,250,474,5,0.0,0
40,B0_568,25,UTF-8,nginx,658.0,NONE,None,None,None,11,3,4,1232,9806,1530,15,4.0,0
41,B0_781,25,UTF-8,Apache,195.0,GB,WEST MIDLANDS,16/07/2016 0:00,22/12/2016 0:00,0,0,0,0,0,0,0,0.0,0
42,B0_786,25,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CO,27/11/2016 19:09,1/02/2017 0:01,0,0,0,0,0,0,0,0.0,0
43,M0_171,26,ISO-8859-1,nginx/1.12.0,4166.0,US,TEXAS,30/05/2008 0:00,30/05/2016 0:00,24,0,3,2508,21098,2992,30,6.0,1
44,M0_68,26,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962.0,GB,WC1N,25/09/2000 0:00,18/07/2016 0:00,9,0,4,842,2101,994,11,2.0,1
45,M0_70,26,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962.0,GB,WC1N,9/04/2002 0:00,10/04/2017 0:00,7,0,2,722,2000,1016,11,4.0,1
46,M0_72,26,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962.0,GB,WC1N,9/04/2002 0:00,10/04/2017 0:00,7,0,2,722,1913,1036,11,4.0,1
47,B0_1125,26,utf-8,nginx,2688.0,US,Kentucky,11/01/1997 0:00,30/04/2015 0:00,0,0,0,0,0,0,0,0.0,0
48,B0_1374,26,iso-8859-1,Apache,199.0,PA,PANAMA,19/12/2007 0:00,21/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
49,B0_159,26,UTF-8,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,3548.0,NONE,None,6/11/1997 0:00,6/11/2016 0:00,13,0,1,1378,6226,1856,19,6.0,0
50,B0_179,26,None,tsa_c,0.0,US,CA,21/01/2000 0:00,8/11/2016 0:00,43,39,3,6325,32025,7063,53,10.0,0
51,B0_2027,26,ISO-8859-1,nginx/1.12.0,5426.0,US,NEW YORK,27/04/2009 0:00,27/02/2017 0:00,9,7,4,702,696,702,9,0.0,0
52,B0_256,26,iso-8859-1,Apache/2,345.0,US,FL,31/05/2000 0:00,2/04/2014 0:00,43,0,2,3252,60076,3564,47,4.0,0
53,B0_859,26,us-ascii,None,324.0,US,TX,9/03/2000 0:00,13/02/2014 0:00,0,0,0,0,0,0,0,0.0,0
54,M0_67,27,UTF-8,Apache/2.2.22 (Debian),8756.0,GB,WC1N,16/06/2000 0:00,16/02/2016 0:00,38,0,3,4207,39662,4679,44,6.0,1
55,M0_75,27,UTF-8,Apache,193.0,US,PA,19/01/2015 0:00,3/03/2017 0:00,9,0,1,1838,4524,1992,11,2.0,1
56,B0_1353,27,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CO,22/03/2017 0:00,23/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
57,B0_453,27,UTF-8,Apache/2.4.25,7967.0,NONE,None,28/04/1997 0:00,24/04/2017 0:00,6,0,4,631,812,787,8,2.0,0
58,B0_966,27,ISO-8859-1,Apache,11506.0,US,FL,4/03/1996 0:00,7/01/2015 0:00,0,0,0,0,0,0,0,0.0,0
59,M0_94,28,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,FL,21/10/2004 0:00,14/10/2014 0:00,5,0,2,556,1154,860,9,4.0,1
60,B0_1020,28,utf-8,nginx,39036.0,GB,GB,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,0,0,0,0,0,0,0,0.0,0
61,B0_2228,28,us-ascii,Microsoft-IIS/7.5,324.0,US,Pennsylvania,11/11/1996 0:00,27/04/2015 0:00,5,3,3,474,364,474,5,0.0,0
62,B0_229,28,utf-8,Apache,8578.0,CA,ON,2/10/1995 4:00,30/09/2016 9:12,21,7,5,2830,6137,3400,29,8.0,0
63,B0_2309,28,UTF-8,Apache,10576.0,IN,UTTAR PRADESH,28/06/2011 0:00,2/03/2017 0:00,14,9,2,2094,8019,2094,14,0.0,0
64,B0_310,28,us-ascii,Microsoft-IIS/7.5,324.0,NONE,None,16/08/2016 0:00,26/03/2017 0:00,17,1,7,1848,2167,2322,23,6.0,0
65,B0_332,28,UTF-8,Apache/2.4.25 (Amazon) PHP/7.0.14,12846.0,US,NC,9/05/2000 17:31,11/10/2016 0:20,17,12,3,2314,21419,2740,23,6.0,0
66,B0_438,28,UTF-8,GSE,6666.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,66,5,11,6311,63634,6633,70,4.0,0
67,B0_563,28,iso-8859-1,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,445.0,US,FL,14/05/1999 0:00,2/04/2014 0:00,28,5,8,2324,24662,2482,30,2.0,0
68,B0_695,28,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,None,None,33,26,4,3590,30057,4064,39,6.0,0
69,B0_981,28,UTF-8,nginx,18438.0,US,California,15/06/2007 0:00,12/05/2015 0:00,0,0,0,0,0,0,0,0.0,0
70,M0_106,29,ISO-8859-1,Apache,7314.0,US,MD,21/09/2009 0:00,9/08/2016 0:00,34,0,2,2934,34995,3416,40,6.0,1
71,M0_74,29,us-ascii,Microsoft-HTTPAPI/2.0,324.0,OTHER,kireka,9/04/2002 0:00,18/04/2017 0:00,5,0,2,593,1128,751,7,2.0,1
72,B0_1051,29,None,tsa_c,0.0,US,CA,21/01/2000 0:00,8/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
73,B0_1095,29,ISO-8859-1,Apache,9136.0,US,CA,20/01/1995 0:00,22/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
74,B0_1096,29,UTF-8,Apache,5019.0,US,IL,28/03/2006 0:00,24/02/2017 0:00,0,0,0,0,0,0,0,0.0,0
75,B0_1154,29,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,210.0,US,Missouri,28/09/2007 16:06,28/03/2017 18:24,0,0,0,0,0,0,0,0.0,0
76,B0_1287,29,UTF-8,Apache/2.2.22 (Debian),8654.0,JP,Osaka,4/02/2017 0:00,4/02/2017 0:00,0,0,0,0,0,0,0,0.0,0
77,B0_1408,29,iso-8859-1,Apache/2.2.22 (Ubuntu),238.0,CA,QC,7/03/1996 0:00,9/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
78,B0_170,29,ISO-8859-1,Apache,26856.0,NONE,None,4/04/2003 0:00,5/04/2017 0:00,26,6,5,2519,22379,2851,30,4.0,0
